ProductName,Price,Description,Category,ProductID
Laptop X Pro,999.99,High-performance laptop,Electronics,P001
Smartphone Z,499.99,Latest model smartphone,Electronics,P002
Wireless Mouse,29.99,Ergonomic wireless mouse,Accessories,P003
Bluetooth Headphones,89.99,Noise-cancelling headphones,Accessories,P004
Smartwatch Y,199.99,Fitness tracking smartwatch,Wearables,P005
4K TV Ultra HD,799.99,Ultra HD smart TV,Electronics,P006
Gaming Keyboard,129.99,Mechanical gaming keyboard,Accessories,P007
Portable Charger,24.99,High-capacity portable charger,Accessories,P008
Coffee Maker,89.99,Single-serve coffee maker,Home Appliances,P009
Air Fryer,129.99,Countertop air fryer,Home Appliances,P010
Electric Kettle,39.99,Fast-boil electric kettle,Home Appliances,P011
Desk Chair,149.99,Ergonomic office chair,Furniture,P012
Gaming Monitor,349.99,27-inch gaming monitor,Electronics,P013
Printer Pro,119.99,High-resolution printer,Electronics,P014
Noise-Cancelling Earbuds,59.99,Compact noise-cancelling earbuds,Accessories,P015
Smart Thermostat,199.99,Wi-Fi enabled smart thermostat,Home Appliances,P016
Home Security Camera,89.99,Wireless security camera,Electronics,P017
Blender Elite,79.99,High-performance blender,Home Appliances,P018
Yoga Mat,39.99,Non-slip yoga mat,Fitness,P019
Digital Camera,499.99,Compact digital camera,Electronics,P020
